NAME                 PROPERTY       VALUE  SOURCE
tank/zle             compressratio  1.00x  -
tank/zstd-fast-1000  compressratio  1.02x  -
tank/zstd-fast-500   compressratio  1.10x  -
tank/zstd-fast-100   compressratio  1.23x  -
tank/zstd-fast-80    compressratio  1.24x  -
tank/zstd-fast-90    compressratio  1.24x  -
tank/zstd-fast-70    compressratio  1.25x  -
tank/zstd-fast-60    compressratio  1.26x  -
tank/zstd-fast-50    compressratio  1.27x  -
tank/zstd-fast-40    compressratio  1.29x  -
tank/zstd-fast-30    compressratio  1.50x  -
tank/zstd-fast-20    compressratio  1.63x  -
tank/lzjb            compressratio  1.82x  -
tank/zstd-fast-10    compressratio  1.90x  -
tank/zstd-fast-9     compressratio  1.95x  -
tank/zstd-fast-8     compressratio  2.00x  -
tank/zstd-fast-7     compressratio  2.06x  -
tank/zstd-fast-6     compressratio  2.12x  -
tank/zstd-fast-5     compressratio  2.20x  -
tank/lz4             compressratio  2.23x  -
tank                 compressratio  2.28x  -
tank/zstd-fast-4     compressratio  2.29x  -
tank/zstd-fast-3     compressratio  2.41x  -
tank/zstd-fast-2     compressratio  2.53x  -
tank/zstd-fast-1     compressratio  2.63x  -
tank/gzip-1          compressratio  3.10x  -
tank/gzip-2          compressratio  3.20x  -
tank/gzip-3          compressratio  3.32x  -
tank/zstd-1          compressratio  3.39x  -
tank/gzip-4          compressratio  3.45x  -
tank/zstd-2          compressratio  3.46x  -
tank/zstd-4          compressratio  3.53x  -
tank/gzip-5          compressratio  3.58x  -
tank/zstd-3          compressratio  3.60x  -
tank/gzip-6          compressratio  3.63x  -
tank/zstd-5          compressratio  3.63x  -
tank/gzip-7          compressratio  3.65x  -
tank/gzip-8          compressratio  3.66x  -
tank/gzip-9          compressratio  3.66x  -
tank/zstd-6          compressratio  3.74x  -
tank/zstd-7          compressratio  3.78x  -
tank/zstd-8          compressratio  3.81x  -
tank/zstd-9          compressratio  3.83x  -
tank/zstd-10         compressratio  3.84x  -
tank/zstd-11         compressratio  3.87x  -
tank/zstd-13         compressratio  3.87x  -
tank/zstd-12         compressratio  3.88x  -
tank/zstd-14         compressratio  3.97x  -
tank/zstd-15         compressratio  4.02x  -
tank/zstd-16         compressratio  4.03x  -
tank/zstd-17         compressratio  4.04x  -
tank/zstd-18         compressratio  4.04x  -
tank/zstd-19         compressratio  4.05x  -
