NAME                  USED  AVAIL     REFER  MOUNTPOINT
dedup                 786M  15.2M      785M  /dedup
otus                 4.92M   347M       25K  /otus
otus/hometask2       1.88M   347M     1.88M  /otus/hometask2
otus/test            2.85M   347M     2.83M  /otus/test
tank                  921M   511M      459K  /tank
tank/gzip-1          13.3M   511M     13.3M  /tank/gzip-1
tank/gzip-2          12.9M   511M     12.9M  /tank/gzip-2
tank/gzip-3          12.0M   511M     12.0M  /tank/gzip-3
tank/gzip-4          11.9M   511M     11.9M  /tank/gzip-4
tank/gzip-5          11.7M   511M     11.7M  /tank/gzip-5
tank/gzip-6          11.3M   511M     11.3M  /tank/gzip-6
tank/gzip-7          11.1M   511M     11.1M  /tank/gzip-7
tank/gzip-8          11.0M   511M     11.0M  /tank/gzip-8
tank/gzip-9          11.0M   511M     11.0M  /tank/gzip-9
tank/lz4             17.9M   511M     17.9M  /tank/lz4
tank/lzjb            21.6M   511M     21.6M  /tank/lzjb
tank/zle             39.3M   511M     39.3M  /tank/zle
tank/zstd-1          11.8M   511M     11.8M  /tank/zstd-1
tank/zstd-10         10.6M   511M     10.6M  /tank/zstd-10
tank/zstd-11         10.6M   511M     10.6M  /tank/zstd-11
tank/zstd-12         10.6M   511M     10.6M  /tank/zstd-12
tank/zstd-13         10.6M   511M     10.6M  /tank/zstd-13
tank/zstd-14         10.6M   511M     10.6M  /tank/zstd-14
tank/zstd-15         10.6M   511M     10.6M  /tank/zstd-15
tank/zstd-16         10.6M   511M     10.6M  /tank/zstd-16
tank/zstd-17         10.6M   511M     10.6M  /tank/zstd-17
tank/zstd-18         10.6M   511M     10.6M  /tank/zstd-18
tank/zstd-19         10.6M   511M     10.6M  /tank/zstd-19
tank/zstd-2          11.8M   511M     11.8M  /tank/zstd-2
tank/zstd-3          11.8M   511M     11.8M  /tank/zstd-3
tank/zstd-4          11.8M   511M     11.8M  /tank/zstd-4
tank/zstd-5          11.7M   511M     11.7M  /tank/zstd-5
tank/zstd-6          10.7M   511M     10.7M  /tank/zstd-6
tank/zstd-7          10.7M   511M     10.7M  /tank/zstd-7
tank/zstd-8          10.6M   511M     10.6M  /tank/zstd-8
tank/zstd-9          10.6M   511M     10.6M  /tank/zstd-9
tank/zstd-fast-1     15.4M   511M     15.4M  /tank/zstd-fast-1
tank/zstd-fast-10    20.8M   511M     20.8M  /tank/zstd-fast-10
tank/zstd-fast-100   32.0M   511M     32.0M  /tank/zstd-fast-100
tank/zstd-fast-1000  37.5M   511M     37.5M  /tank/zstd-fast-1000
tank/zstd-fast-2     15.5M   511M     15.5M  /tank/zstd-fast-2
tank/zstd-fast-20    24.3M   511M     24.3M  /tank/zstd-fast-20
tank/zstd-fast-3     16.7M   511M     16.7M  /tank/zstd-fast-3
tank/zstd-fast-30    26.0M   511M     26.0M  /tank/zstd-fast-30
tank/zstd-fast-4     17.6M   511M     17.6M  /tank/zstd-fast-4
tank/zstd-fast-40    30.7M   511M     30.7M  /tank/zstd-fast-40
tank/zstd-fast-5     18.0M   511M     18.0M  /tank/zstd-fast-5
tank/zstd-fast-50    31.0M   511M     31.0M  /tank/zstd-fast-50
tank/zstd-fast-500   35.6M   511M     35.6M  /tank/zstd-fast-500
tank/zstd-fast-6     18.8M   511M     18.8M  /tank/zstd-fast-6
tank/zstd-fast-60    31.4M   511M     31.4M  /tank/zstd-fast-60
tank/zstd-fast-7     19.3M   511M     19.3M  /tank/zstd-fast-7
tank/zstd-fast-70    31.4M   511M     31.4M  /tank/zstd-fast-70
tank/zstd-fast-8     19.9M   511M     19.9M  /tank/zstd-fast-8
tank/zstd-fast-80    31.7M   511M     31.7M  /tank/zstd-fast-80
tank/zstd-fast-9     20.5M   511M     20.5M  /tank/zstd-fast-9
tank/zstd-fast-90    31.9M   511M     31.9M  /tank/zstd-fast-90
